event_id,case_id,event_type,event_timestamp,event_description
EVT-000001,CASE-00001,case_opened,2025-12-20 00:00:00,Case opened following signal threshold breach.
EVT-000002,CASE-00002,case_opened,2026-03-23 00:00:00,Case opened following signal threshold breach.
EVT-000003,CASE-00002,evidence_collected,2026-05-18 09:41:41,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000004,CASE-00003,case_opened,2026-04-27 00:00:00,Case opened following signal threshold breach.
EVT-000005,CASE-00004,case_opened,2026-01-01 00:00:00,Case opened following signal threshold breach.
EVT-000006,CASE-00004,evidence_collected,2026-01-01 08:57:36,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000007,CASE-00004,resolved,2026-01-02 00:00:00,Investigation concluded; action taken on account.
EVT-000008,CASE-00005,case_opened,2026-05-09 00:00:00,Case opened following signal threshold breach.
EVT-000009,CASE-00005,evidence_collected,2026-05-24 04:19:35,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000010,CASE-00006,case_opened,2026-01-23 00:00:00,Case opened following signal threshold breach.
EVT-000011,CASE-00007,case_opened,2025-12-17 00:00:00,Case opened following signal threshold breach.
EVT-000012,CASE-00007,evidence_collected,2025-12-18 16:54:51,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000013,CASE-00007,resolved,2025-12-21 00:00:00,Investigation concluded; action taken on account.
EVT-000014,CASE-00008,case_opened,2026-01-02 00:00:00,Case opened following signal threshold breach.
EVT-000015,CASE-00008,evidence_collected,2026-03-27 11:00:44,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000016,CASE-00008,escalated,2026-05-14 01:37:53,Case escalated to senior review.
EVT-000017,CASE-00009,case_opened,2026-04-22 00:00:00,Case opened following signal threshold breach.
EVT-000018,CASE-00009,evidence_collected,2026-04-25 15:03:34,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000019,CASE-00009,resolved,2026-04-28 00:00:00,Investigation concluded; action taken on account.
EVT-000020,CASE-00010,case_opened,2026-04-23 00:00:00,Case opened following signal threshold breach.
EVT-000021,CASE-00010,evidence_collected,2026-05-15 19:20:59,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000022,CASE-00011,case_opened,2026-05-06 00:00:00,Case opened following signal threshold breach.
EVT-000023,CASE-00012,case_opened,2026-05-08 00:00:00,Case opened following signal threshold breach.
EVT-000024,CASE-00012,evidence_collected,2026-05-19 12:00:25,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000025,CASE-00012,escalated,2026-05-24 23:46:36,Case escalated to senior review.
EVT-000026,CASE-00013,case_opened,2025-12-29 00:00:00,Case opened following signal threshold breach.
EVT-000027,CASE-00013,evidence_collected,2026-03-04 10:41:22,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000028,CASE-00013,escalated,2026-05-06 13:16:41,Case escalated to senior review.
EVT-000029,CASE-00014,case_opened,2026-02-04 00:00:00,Case opened following signal threshold breach.
EVT-000030,CASE-00015,case_opened,2026-05-12 00:00:00,Case opened following signal threshold breach.
