evidence_id,case_id,evidence_type,reference_id,added_at,added_by
EVD-000001,CASE-00001,comment,COM-000025,2025-12-20 00:00:00,MOD-001
EVD-000002,CASE-00001,comment,COM-000037,2025-12-20 00:00:00,MOD-001
EVD-000003,CASE-00001,comment,COM-000035,2025-12-20 00:00:00,MOD-001
EVD-000004,CASE-00001,report,REP-000002,2025-12-20 00:00:00,MOD-001
EVD-000005,CASE-00001,report,REP-000006,2025-12-20 00:00:00,MOD-001
EVD-000006,CASE-00001,campaign,CAMP-001,2025-12-20 00:00:00,MOD-001
EVD-000007,CASE-00002,comment,COM-000073,2026-05-18 09:41:41,MOD-004
EVD-000008,CASE-00002,comment,COM-000074,2026-05-18 09:41:41,MOD-004
EVD-000009,CASE-00002,comment,COM-000066,2026-05-18 09:41:41,MOD-004
EVD-000010,CASE-00002,report,REP-000016,2026-05-18 09:41:41,MOD-004
EVD-000011,CASE-00002,report,REP-000019,2026-05-18 09:41:41,MOD-004
EVD-000012,CASE-00002,campaign,CAMP-009,2026-05-18 09:41:41,MOD-004
EVD-000013,CASE-00003,comment,COM-000148,2026-04-27 00:00:00,MOD-002
EVD-000014,CASE-00003,comment,COM-000137,2026-04-27 00:00:00,MOD-002
EVD-000015,CASE-00003,comment,COM-000135,2026-04-27 00:00:00,MOD-002
EVD-000016,CASE-00003,report,REP-000028,2026-04-27 00:00:00,MOD-002
EVD-000017,CASE-00003,report,REP-000025,2026-04-27 00:00:00,MOD-002
EVD-000018,CASE-00003,campaign,CAMP-007,2026-04-27 00:00:00,MOD-002
EVD-000019,CASE-00004,comment,COM-000188,2026-01-01 08:57:36,MOD-001
EVD-000020,CASE-00004,comment,COM-000192,2026-01-01 08:57:36,MOD-001
EVD-000021,CASE-00004,comment,COM-000193,2026-01-01 08:57:36,MOD-001
EVD-000022,CASE-00004,report,REP-000072,2026-01-01 08:57:36,MOD-001
EVD-000023,CASE-00004,report,REP-000070,2026-01-01 08:57:36,MOD-001
EVD-000024,CASE-00004,campaign,CAMP-008,2026-01-01 08:57:36,MOD-001
EVD-000025,CASE-00005,comment,COM-000251,2026-05-24 04:19:35,MOD-004
EVD-000026,CASE-00005,comment,COM-000258,2026-05-24 04:19:35,MOD-004
EVD-000027,CASE-00005,comment,COM-000254,2026-05-24 04:19:35,MOD-004
EVD-000028,CASE-00005,report,REP-000125,2026-05-24 04:19:35,MOD-004
EVD-000029,CASE-00005,campaign,CAMP-015,2026-05-24 04:19:35,MOD-004
EVD-000030,CASE-00006,comment,COM-000279,2026-01-23 00:00:00,MOD-004
EVD-000031,CASE-00006,comment,COM-000281,2026-01-23 00:00:00,MOD-004
EVD-000032,CASE-00006,comment,COM-000283,2026-01-23 00:00:00,MOD-004
EVD-000033,CASE-00006,report,REP-000127,2026-01-23 00:00:00,MOD-004
EVD-000034,CASE-00006,report,REP-000130,2026-01-23 00:00:00,MOD-004
EVD-000035,CASE-00006,campaign,CAMP-006,2026-01-23 00:00:00,MOD-004
EVD-000036,CASE-00007,comment,COM-000308,2025-12-18 16:54:51,MOD-008
